,Name
941,Berend (Oberst)
942,Berendes
943,Berendonck
944,Berendt
945,Berensen
946,Berenson
947,"Berentes, László"
948,"Berez, Moshe"
949,Berezenko family
950,Berg
951,"Berg, Benno"
952,"Berg, Erich von"
953,"Berg, Eta"
954,"Bergel, Joseph"
955,"Bergemann, Hans"
956,"Bergenbaum, Aba"
957,Berger
958,"Berger, Abram"
959,"Berger, Alfred"
960,"Berger, Benzel"
961,"Berger, Ernst"
962,"Berger, Gottlob"
963,"Berger, Josek"
964,"Berger, Lila"
965,"Berger, M."
966,"Berger, Moses"
967,"Berger, Moshe"
968,"Berger, Otto"
969,"Bergerhoff, Hans"
970,"Berggrav, Eivind"
971,"Berghen, Edouard van den"
972,"Berghoff, Aloys"
973,"Berghoff, Wilhelm"
974,Bergholz
975,"Bergholz, Max"
976,Bergin
977,Bergkvist
978,"Bergl, Evelyn Arzt"
979,"Berglan, Marian"
980,Bergmaier
981,"Bergman, Symcha"
982,Bergmann
983,"Bergmann, Erich"
984,"Bergmann, Julius"
985,"Bergmann, Moshe"
986,"Bergmann, Olga"
987,"Bergmann, Paul"
988,"Bergmann, Yosef"
989,"Bergner, Nathan"
990,"Bergson, Motl"
991,"Berk, Leon"
992,"Berkani, Mohamed Arezki"
993,"Berke, Wilhelm B. W."
994,"Berkowitz, Mordechai"
995,"Berkowitz, Sarah"
996,"Berkowski, Hirsh"
997,Berl
998,"Berl, Tresser"
999,"Berlemann, Hans"
1000,"Berliner, Riwen"
1001,"Berliner, Zyskind"
1002,"Berlioz, Hector"
1003,"Berlovitch, Chaim"
1004,Berman
1005,Berman family
1006,"Berman, Anna"
1007,"Berman, Jack"
1008,"Berman, Khana-Rokhl"
1009,"Berman, Mojsze"
1010,"Berman, Moshe"
1011,"Berman, Shamay"
1012,"Bermann, Armin"
